epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,526.237,0.61956,0.50576,0.00683,1,0.99536,0.995,0.87974,0.57151,0.17812,0.00794,0.000965239,0.000965239,0.000965239
44,537.74,0.66764,0.48294,0.0082,0.99811,1,0.995,0.91279,0.45593,0.14062,0.00614,0.000963585,0.000963585,0.000963585
45,548.826,0.56976,0.41107,0.00642,0.97229,1,0.9942,0.9024,0.50724,0.20224,0.00748,0.000961894,0.000961894,0.000961894
46,560.283,0.63672,0.43652,0.00673,0.97524,0.97959,0.99152,0.89007,0.54564,0.2246,0.00891,0.000960166,0.000960166,0.000960166
47,572.19,0.58951,0.41888,0.00638,0.97652,1,0.9946,0.86754,0.55573,0.1988,0.00899,0.000958402,0.000958402,0.000958402
48,582.968,0.6143,0.39264,0.00683,0.97959,0.97948,0.9912,0.90421,0.45824,0.2088,0.00559,0.000956601,0.000956601,0.000956601
49,594.674,0.61292,0.36493,0.00588,0.99773,0.97959,0.99385,0.89851,0.47975,0.19039,0.00627,0.000954763,0.000954763,0.000954763
50,605.484,0.55109,0.36935,0.00622,1,0.91568,0.98998,0.89324,0.48663,0.22157,0.00652,0.000952889,0.000952889,0.000952889
51,616.282,0.58138,0.40269,0.00676,1,0.97872,0.9946,0.8911,0.51727,0.17564,0.00791,0.00095098,0.00095098,0.00095098
52,626.838,0.59512,0.388,0.00663,1,0.97936,0.9946,0.87146,0.63255,0.20838,0.00912,0.000949034,0.000949034,0.000949034
53,638.154,0.60999,0.41514,0.00665,0.99755,0.93878,0.99119,0.88454,0.54357,0.24425,0.00681,0.000947052,0.000947052,0.000947052
54,649.044,0.58585,0.46308,0.00558,0.97914,0.95779,0.98998,0.90056,0.48409,0.30218,0.00595,0.000945035,0.000945035,0.000945035
55,660.188,0.58611,0.37785,0.00613,0.97864,0.93489,0.98469,0.88181,0.54514,0.31908,0.00795,0.000942983,0.000942983,0.000942983
56,671.084,0.63165,0.43536,0.00719,1,0.99709,0.995,0.88189,0.56243,0.18011,0.00773,0.000940895,0.000940895,0.000940895
57,681.215,0.65609,0.402,0.00832,1,0.99658,0.995,0.88757,0.50175,0.16835,0.00639,0.000938772,0.000938772,0.000938772
58,691.384,0.63602,0.40977,0.00733,0.92034,1,0.99107,0.89172,0.4306,0.20377,0.00636,0.000936614,0.000936614,0.000936614
59,702.438,0.58806,0.37155,0.00665,0.97998,0.999,0.9934,0.91394,0.44921,0.18182,0.0067,0.000934421,0.000934421,0.000934421
60,714.727,0.65501,0.41456,0.00695,0.99984,1,0.995,0.89816,0.47998,0.18486,0.00701,0.000932194,0.000932194,0.000932194
61,725.132,0.56634,0.35522,0.00629,0.99115,1,0.995,0.90794,0.47876,0.17362,0.00663,0.000929932,0.000929932,0.000929932
62,735.751,0.53033,0.29463,0.00557,0.99633,1,0.995,0.9251,0.41003,0.13768,0.00495,0.000927636,0.000927636,0.000927636
63,746.587,0.54732,0.37511,0.00626,0.97995,0.99738,0.9946,0.93333,0.38583,0.17985,0.00485,0.000925306,0.000925306,0.000925306
64,757.124,0.57242,0.36364,0.00653,0.97571,1,0.9946,0.87432,0.57468,0.18293,0.00889,0.000922942,0.000922942,0.000922942
65,767.216,0.56618,0.39747,0.00601,0.9369,1,0.99106,0.92517,0.42291,0.19688,0.00596,0.000920545,0.000920545,0.000920545
66,777.899,0.5594,0.34089,0.00513,0.97652,1,0.9946,0.91447,0.43213,0.1516,0.00481,0.000918114,0.000918114,0.000918114
67,790.372,0.54604,0.32804,0.00579,1,0.97804,0.99422,0.92082,0.41815,0.15749,0.00602,0.000915649,0.000915649,0.000915649
68,802.137,0.55721,0.3132,0.00545,1,0.97071,0.99422,0.92597,0.37813,0.16759,0.00532,0.000913152,0.000913152,0.000913152
69,812.51,0.52193,0.32891,0.00542,0.99776,0.97959,0.9946,0.8994,0.47224,0.17517,0.00633,0.000910622,0.000910622,0.000910622
70,823.369,0.53941,0.30557,0.00601,0.97956,0.97802,0.99303,0.91816,0.44177,0.16874,0.00636,0.000908059,0.000908059,0.000908059
71,833.678,0.53363,0.36376,0.00522,0.99683,0.95918,0.99274,0.91722,0.46592,0.17782,0.00682,0.000905463,0.000905463,0.000905463
72,843.876,0.53593,0.31533,0.006,0.95892,1,0.99343,0.89092,0.49587,0.17486,0.00683,0.000902836,0.000902836,0.000902836
73,854.865,0.55843,0.2947,0.00618,0.95907,1,0.99381,0.9126,0.46468,0.16878,0.00682,0.000900176,0.000900176,0.000900176
74,866.19,0.54719,0.25221,0.00516,0.95675,1,0.9918,0.92497,0.40862,0.20247,0.00523,0.000897484,0.000897484,0.000897484
75,876.06,0.57903,0.34326,0.00632,1,0.97222,0.99422,0.91703,0.43895,0.1627,0.00664,0.000894761,0.000894761,0.000894761
76,887.511,0.59378,0.41191,0.00604,0.97599,0.97959,0.99299,0.92566,0.40596,0.18534,0.00503,0.000892007,0.000892007,0.000892007
