epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,35.8697,1.02411,4.29819,1.36146,0.00306,0.79592,0.14009,0.03474,1.24011,3.40579,1.62462,0.0001,0.0001,0.0901
2,41.7278,0.70631,2.23046,1.06049,0.00133,0.32653,0.00156,0.00062,1.99469,4.18191,3.00127,0.000209996,0.000209996,0.07921
3,49.3309,0.62129,1.38461,1.02761,0.00207,0.59184,0.0035,0.00112,1.75073,4.2428,2.54711,0.000319974,0.000319974,0.06832
4,55.0794,0.66252,1.09559,1.00584,0.0037,0.28571,0.05809,0.01502,1.75533,4.58061,2.21713,0.000429923,0.000429923,0.0574299
5,64.1444,0.64018,0.91153,1.00007,0.03452,0.71429,0.18771,0.13288,1.61191,3.34065,2.26932,0.000539828,0.000539828,0.0465398
6,71.317,0.59964,0.81763,0.97502,0.07854,0.83673,0.4159,0.25877,1.05248,3.32152,1.3694,0.000649676,0.000649676,0.0356497
7,80.4116,0.58641,0.7813,0.96304,0.07276,0.87755,0.50949,0.3393,0.94103,3.12607,1.3647,0.000759455,0.000759455,0.0247595
8,88.1604,0.61519,0.80083,0.97253,1,0.50148,0.90757,0.74125,0.80176,2.16229,1.226,0.00086915,0.00086915,0.0138692
9,95.7574,0.57448,0.76266,0.981,1,0.81921,0.96581,0.77059,0.71845,1.5709,1.13091,0.00097875,0.00097875,0.00297875
10,103.671,0.59343,0.74005,1.00531,0.9755,0.81269,0.9279,0.78924,0.71333,1.33694,1.10479,0.000998386,0.000998386,0.000998386
11,110.811,0.5644,0.66214,0.96502,0.95878,0.94941,0.98852,0.82975,0.57826,0.81293,0.99427,0.000998007,0.000998007,0.000998007
12,117.298,0.54402,0.65043,0.97223,0.97965,0.98249,0.9942,0.877,0.54168,0.67972,0.96053,0.000997589,0.000997589,0.000997589
13,126.349,0.53779,0.65345,0.95291,1,0.85437,0.97155,0.84812,0.51952,0.74503,0.93752,0.000997131,0.000997131,0.000997131
14,134.492,0.53556,0.60268,0.95955,0.92961,0.81633,0.91958,0.78196,0.56514,0.90993,0.98298,0.000996634,0.000996634,0.000996634
15,141.595,0.51812,0.62227,0.95814,0.97434,0.7748,0.87862,0.77334,0.58016,0.97974,1.00629,0.000996097,0.000996097,0.000996097
16,147.839,0.53424,0.62713,0.94198,0.99198,0.79592,0.92939,0.80423,0.53754,0.88776,0.97088,0.00099552,0.00099552,0.00099552
17,156.545,0.5436,0.61795,0.94091,0.29979,0.48932,0.27577,0.23878,0.54017,1.76386,0.95821,0.000994904,0.000994904,0.000994904
18,163.077,0.51438,0.61133,0.93881,0.96676,0.87755,0.97375,0.83386,0.56666,0.76024,0.98062,0.000994248,0.000994248,0.000994248
19,171.967,0.5806,0.63548,0.96075,0.95136,0.79839,0.92408,0.7694,0.69596,1.023,1.1449,0.000993553,0.000993553,0.000993553
20,179.116,0.53636,0.61531,0.96896,0.99329,0.95918,0.99308,0.85229,0.58916,0.66728,1.03393,0.000992819,0.000992819,0.000992819
21,188.401,0.50318,0.54538,0.94428,0.99164,0.91837,0.98549,0.80145,0.55965,0.64039,1.01541,0.000992045,0.000992045,0.000992045
22,194.352,0.53743,0.59613,0.99087,1,0.98976,0.995,0.85579,0.51516,0.63486,0.95101,0.000991232,0.000991232,0.000991232
23,203.663,0.4798,0.48103,0.89933,0.99868,0.97959,0.98941,0.89087,0.46195,0.58761,0.9219,0.00099038,0.00099038,0.00099038
24,210.805,0.50214,0.52055,0.9263,0.9981,1,0.995,0.87614,0.51124,0.5907,0.95136,0.000989489,0.000989489,0.000989489
25,220.437,0.51376,0.53762,0.92614,0.99764,1,0.995,0.88887,0.488,0.59072,0.9331,0.000988559,0.000988559,0.000988559
26,228.112,0.50067,0.52489,0.93355,0.96071,0.99819,0.99217,0.90051,0.4673,0.55391,0.90145,0.000987589,0.000987589,0.000987589
27,236.866,0.47851,0.49993,0.91946,0.97766,1,0.9946,0.89124,0.45226,0.47531,0.90323,0.000986581,0.000986581,0.000986581
28,244.775,0.44866,0.44623,0.87901,0.95626,1,0.995,0.89032,0.47897,0.52502,0.93877,0.000985534,0.000985534,0.000985534
29,251.879,0.49721,0.53661,0.93785,0.95979,0.97434,0.99189,0.88918,0.44891,0.52251,0.90131,0.000984449,0.000984449,0.000984449
30,259.082,0.52733,0.56231,0.95003,0.99927,1,0.995,0.89091,0.46117,0.44921,0.89157,0.000983324,0.000983324,0.000983324
