epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,18.6731,0.98715,12.9739,1.34352,0.39113,0.27546,0.22949,0.16491,1.05321,8.38988,1.44232,0.000190909,0.000190909,0.0811
2,34.6854,0.74764,1.36142,1.14356,1,0.22069,0.58361,0.43716,1.18717,2.62299,1.53126,0.000390901,0.000390901,0.0613
3,50.341,0.69999,0.91352,1.10885,0.69867,0.61521,0.67012,0.53127,0.98562,1.53663,1.42945,0.000590862,0.000590862,0.0415
4,70.3896,0.81526,0.99576,1.15056,0.93826,0.65306,0.72878,0.61739,0.79347,1.15094,1.25442,0.000790767,0.000790767,0.0216999
5,80.2135,0.74195,0.92759,1.13634,0.94357,0.73469,0.85244,0.70607,0.948,1.22647,1.43133,0.000990593,0.000990593,0.00189968
6,94.0693,0.75188,0.84907,1.13815,0.97435,0.77532,0.83321,0.6904,0.85164,0.77399,1.42551,0.000999502,0.000999502,0.000999502
7,104.345,0.76388,0.91707,1.13025,0.86656,0.79519,0.83297,0.63761,1.05314,0.8748,1.50395,0.000999282,0.000999282,0.000999282
8,116.924,0.73287,0.859,1.17005,0.7681,0.55102,0.56775,0.50307,1.07077,7.00231,1.68527,0.000999023,0.000999023,0.000999023
9,129.372,0.64198,0.73706,1.00783,0.90304,0.93878,0.96694,0.72498,0.77599,2.99068,1.41017,0.000998724,0.000998724,0.000998724
10,140.317,0.68275,0.72351,1.08708,0.90071,0.91837,0.96332,0.76338,0.68559,1.30315,1.21829,0.000998386,0.000998386,0.000998386
11,151.213,0.6897,0.6633,1.0795,0.94547,0.93878,0.98418,0.86476,0.62039,0.68379,1.11874,0.000998007,0.000998007,0.000998007
12,161.761,0.65358,0.66046,1.05939,0.83835,1,0.96525,0.76816,0.63639,0.7049,1.19354,0.000997589,0.000997589,0.000997589
13,172.124,0.76587,0.81847,1.07672,0.98306,0.95918,0.98967,0.82965,0.66414,0.50286,1.09061,0.000997131,0.000997131,0.000997131
14,182.478,0.60988,0.58465,1.04948,0.94785,0.93878,0.97146,0.84475,0.65227,0.83411,1.09636,0.000996634,0.000996634,0.000996634
15,192.918,0.65676,0.63997,1.08961,0.97352,1,0.9918,0.8732,0.61475,0.57836,1.04587,0.000996097,0.000996097,0.000996097
16,203.57,0.60643,0.60932,1.0166,0.89431,0.95918,0.96381,0.85693,0.61619,0.5654,1.09717,0.00099552,0.00099552,0.00099552
17,214.033,0.57055,0.59008,0.98769,0.9791,0.9559,0.98935,0.87269,0.56704,0.53524,1.07531,0.000994904,0.000994904,0.000994904
18,224.4,0.61962,0.61016,1.06141,0.9907,1,0.995,0.88953,0.52543,0.41282,1.03256,0.000994248,0.000994248,0.000994248
19,234.838,0.58629,0.55795,1.01751,0.97933,0.96692,0.99149,0.86807,0.63308,0.41793,1.11754,0.000993553,0.000993553,0.000993553
20,245.213,0.5594,0.55747,1.01356,1,0.97496,0.99422,0.87738,0.56234,0.41245,1.04408,0.000992819,0.000992819,0.000992819
21,255.719,0.53928,0.53767,0.95907,0.97606,0.97959,0.99099,0.87206,0.55426,0.44023,1.0264,0.000992045,0.000992045,0.000992045
22,269.789,0.5919,0.58846,1.03357,0.9491,0.91837,0.95695,0.82714,0.6501,0.57374,1.15108,0.000991232,0.000991232,0.000991232
23,280.463,0.55807,0.51187,0.96401,0.97952,0.97619,0.99136,0.86344,0.66755,0.43695,1.08861,0.00099038,0.00099038,0.00099038
24,291.175,0.60626,0.57985,1.00701,0.97588,0.82599,0.94329,0.82603,0.71963,0.66812,1.18065,0.000989489,0.000989489,0.000989489
25,301.499,0.61277,0.54744,1.03567,0.99372,0.83673,0.97025,0.83302,0.74233,0.61669,1.1601,0.000988559,0.000988559,0.000988559
26,311.838,0.52031,0.48609,0.96051,1,0.99495,0.995,0.87092,0.56574,0.41934,1.03318,0.000987589,0.000987589,0.000987589
27,326.004,0.55652,0.49438,1.00679,1,0.99695,0.995,0.89316,0.52716,0.38933,0.996,0.000986581,0.000986581,0.000986581
28,337.006,0.59566,0.53354,1.01106,0.99571,1,0.995,0.8898,0.51162,0.42415,0.99688,0.000985534,0.000985534,0.000985534
29,351.382,0.55138,0.51363,0.95683,0.99225,1,0.995,0.88554,0.52026,0.50442,0.98962,0.000984449,0.000984449,0.000984449
30,365.713,0.62016,0.70543,1.10979,0.99186,1,0.995,0.90121,0.55249,0.50021,1.10827,0.000983324,0.000983324,0.000983324
31,381.222,0.53324,0.51632,1.01801,0.97159,1,0.9804,0.87278,0.55617,0.48635,1.05923,0.000982162,0.000982162,0.000982162
32,396.906,0.56556,0.54759,0.97741,1,0.97542,0.9946,0.91335,0.48672,0.35638,1.00311,0.00098096,0.00098096,0.00098096
33,407.763,0.51867,0.50967,1.00349,0.97237,0.97959,0.99381,0.9131,0.50055,0.38291,0.99407,0.000979721,0.000979721,0.000979721
34,418.399,0.52061,0.47586,0.97257,0.97745,1,0.9946,0.8974,0.54261,0.39135,1.01098,0.000978443,0.000978443,0.000978443
35,429.227,0.48338,0.44539,0.97552,0.99746,1,0.995,0.90417,0.58194,0.36378,1.04714,0.000977127,0.000977127,0.000977127
36,440.021,0.54119,0.52109,1.0204,0.99644,0.97959,0.989,0.87724,0.51939,0.42688,1.00718,0.000975773,0.000975773,0.000975773
37,449.616,0.49129,0.49087,0.96052,1,0.9728,0.98789,0.8719,0.55084,0.41776,1.01605,0.000974381,0.000974381,0.000974381
38,458.57,0.51648,0.48908,0.94537,0.99818,1,0.995,0.89252,0.54728,0.38134,1.04377,0.000972951,0.000972951,0.000972951
39,467.967,0.51915,0.51498,0.9937,0.99602,1,0.995,0.89332,0.5042,0.39182,1.00538,0.000971484,0.000971484,0.000971484
40,477.001,0.53703,0.49745,0.99264,0.97749,1,0.9946,0.91136,0.52597,0.38313,1.00514,0.000969979,0.000969979,0.000969979
41,486.078,0.49576,0.46898,0.95947,0.97974,0.98725,0.9942,0.89397,0.49937,0.39874,0.99346,0.000968436,0.000968436,0.000968436
42,494.966,0.4743,0.46115,0.93068,0.99768,0.95918,0.98884,0.91056,0.50236,0.38657,0.98208,0.000966856,0.000966856,0.000966856
43,503.69,0.48219,0.49934,0.92009,0.99776,1,0.995,0.9161,0.48451,0.37226,0.96312,0.000965239,0.000965239,0.000965239
44,512.577,0.4725,0.45307,0.97424,0.9978,1,0.995,0.91346,0.46215,0.33949,0.94146,0.000963585,0.000963585,0.000963585
45,521.304,0.45892,0.45127,0.95311,0.99733,1,0.995,0.92066,0.51157,0.39898,0.96602,0.000961894,0.000961894,0.000961894
46,530.146,0.47597,0.41352,0.94059,0.9959,1,0.995,0.88378,0.54838,0.38219,1.01747,0.000960166,0.000960166,0.000960166
47,538.93,0.52848,0.44617,0.95147,0.98873,1,0.995,0.89385,0.54301,0.39433,1.0123,0.000958402,0.000958402,0.000958402
48,547.631,0.46931,0.43622,0.9661,0.84463,0.83673,0.8792,0.7589,0.55597,0.53732,0.99356,0.000956601,0.000956601,0.000956601
49,556.159,0.4766,0.42965,0.91419,0.82234,0.94471,0.95102,0.8412,0.48182,0.45501,0.95686,0.000954763,0.000954763,0.000954763
50,565.243,0.4769,0.44154,0.9449,0.97953,0.97684,0.99217,0.88676,0.5006,0.35172,0.98763,0.000952889,0.000952889,0.000952889
51,573.85,0.49322,0.46131,0.98726,0.99704,1,0.995,0.90359,0.56274,0.35468,1.01074,0.00095098,0.00095098,0.00095098
52,582.605,0.51721,0.4603,0.99075,0.99386,1,0.995,0.90794,0.52202,0.34266,0.97709,0.000949034,0.000949034,0.000949034
53,591.352,0.4253,0.40131,0.9305,0.99811,1,0.995,0.92017,0.51588,0.38129,0.97632,0.000947052,0.000947052,0.000947052
54,600.189,0.48277,0.43437,0.95417,0.99896,1,0.995,0.92321,0.47856,0.37349,0.96369,0.000945035,0.000945035,0.000945035
55,608.974,0.53008,0.48325,1.03139,0.99794,1,0.995,0.93519,0.41241,0.33554,0.92761,0.000942983,0.000942983,0.000942983
56,617.745,0.44382,0.40816,0.91777,0.99515,1,0.995,0.9314,0.44511,0.32184,0.93533,0.000940895,0.000940895,0.000940895
57,626.454,0.45355,0.44724,0.93042,1,0.99454,0.995,0.94793,0.44424,0.3296,0.94212,0.000938772,0.000938772,0.000938772
58,635.132,0.45173,0.41345,0.90428,0.97648,1,0.9942,0.90527,0.47211,0.34116,0.97885,0.000936614,0.000936614,0.000936614
59,643.787,0.45399,0.46621,0.95703,0.98979,1,0.995,0.91874,0.45762,0.31599,0.96495,0.000934421,0.000934421,0.000934421
60,652.519,0.55509,0.52047,1.02815,0.99264,1,0.995,0.92577,0.46807,0.34187,0.97646,0.000932194,0.000932194,0.000932194
