epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,416.056,0.49826,0.52624,0.92979,0.99254,1,0.995,0.89281,0.43032,0.41466,0.93399,0.000965239,0.000965239,0.000965239
44,425.99,0.50551,0.51682,0.97021,0.9975,1,0.995,0.91362,0.42951,0.43071,0.93285,0.000963585,0.000963585,0.000963585
45,435.015,0.45084,0.45672,0.92333,0.99649,1,0.995,0.91474,0.42061,0.44492,0.92956,0.000961894,0.000961894,0.000961894
46,446.877,0.43855,0.43879,0.9271,0.97646,1,0.995,0.89553,0.43629,0.41593,0.93306,0.000960166,0.000960166,0.000960166
47,455.056,0.46276,0.43914,0.91876,0.99532,0.97959,0.99385,0.9074,0.4352,0.35759,0.91983,0.000958402,0.000958402,0.000958402
48,467,0.47315,0.4272,0.9451,0.99759,1,0.995,0.92735,0.4076,0.32753,0.90549,0.000956601,0.000956601,0.000956601
49,476.044,0.46519,0.42307,0.95567,0.99891,0.97959,0.9831,0.90963,0.38391,0.4594,0.90508,0.000954763,0.000954763,0.000954763
50,484.043,0.44028,0.43515,0.93639,0.97895,0.94919,0.99106,0.91692,0.38125,0.40747,0.89721,0.000952889,0.000952889,0.000952889
51,493.426,0.46403,0.48432,0.9362,0.97217,1,0.9938,0.8964,0.43353,0.39404,0.92203,0.00095098,0.00095098,0.00095098
52,502.849,0.44907,0.42438,0.9075,0.97479,0.97959,0.98609,0.91358,0.43096,0.36736,0.90717,0.000949034,0.000949034,0.000949034
53,511.414,0.42539,0.39674,0.91201,0.97246,0.97959,0.98376,0.91941,0.42029,0.37322,0.90649,0.000947052,0.000947052,0.000947052
54,521.992,0.41939,0.40225,0.90672,0.97736,1,0.9844,0.90763,0.40333,0.35665,0.89742,0.000945035,0.000945035,0.000945035
55,530.549,0.43485,0.41008,0.91832,0.99846,1,0.995,0.91542,0.39832,0.30393,0.89763,0.000942983,0.000942983,0.000942983
56,540.003,0.45739,0.43117,0.93172,0.99873,1,0.995,0.93665,0.37118,0.29744,0.89736,0.000940895,0.000940895,0.000940895
57,548.382,0.43849,0.41255,0.93005,0.99679,1,0.995,0.92503,0.37276,0.2881,0.89452,0.000938772,0.000938772,0.000938772
58,557.327,0.43246,0.42676,0.92233,0.97513,0.97959,0.98679,0.92561,0.41756,0.35263,0.9234,0.000936614,0.000936614,0.000936614
59,566.586,0.46864,0.45563,0.94014,0.99618,1,0.995,0.94607,0.37511,0.42945,0.90144,0.000934421,0.000934421,0.000934421
60,575.139,0.44888,0.40785,0.91508,0.97547,1,0.991,0.94019,0.37648,0.41958,0.88172,0.000932194,0.000932194,0.000932194
61,584.156,0.42168,0.39747,0.93272,0.9336,1,0.99301,0.93602,0.37455,0.37099,0.88371,0.000929932,0.000929932,0.000929932
62,592.409,0.4225,0.38642,0.91212,0.99794,1,0.995,0.92759,0.3727,0.3075,0.88939,0.000927636,0.000927636,0.000927636
63,603.463,0.42499,0.37423,0.89077,0.99487,1,0.995,0.93446,0.35878,0.31395,0.88435,0.000925306,0.000925306,0.000925306
64,612.917,0.43866,0.39913,0.91092,0.99841,1,0.995,0.91733,0.38197,0.30063,0.8961,0.000922942,0.000922942,0.000922942
65,620.885,0.44088,0.40051,0.91881,0.9985,1,0.995,0.92368,0.37154,0.28272,0.88421,0.000920545,0.000920545,0.000920545
66,629.736,0.4357,0.39516,0.90544,0.99869,1,0.995,0.94202,0.35941,0.29165,0.88163,0.000918114,0.000918114,0.000918114
67,638.074,0.38322,0.36973,0.90025,0.99854,1,0.995,0.92028,0.37312,0.31614,0.88972,0.000915649,0.000915649,0.000915649
68,647.863,0.42753,0.39671,0.91826,0.99872,1,0.995,0.91414,0.37926,0.2946,0.88661,0.000913152,0.000913152,0.000913152
69,657.156,0.404,0.3615,0.90353,0.99873,1,0.995,0.93601,0.36123,0.28226,0.88414,0.000910622,0.000910622,0.000910622
70,666.21,0.416,0.36262,0.92424,0.9978,1,0.995,0.94243,0.3922,0.30831,0.90628,0.000908059,0.000908059,0.000908059
71,675.493,0.41968,0.37177,0.89662,0.99833,1,0.995,0.93011,0.38897,0.32012,0.90306,0.000905463,0.000905463,0.000905463
72,683.536,0.42778,0.37112,0.90447,0.99596,1,0.995,0.94723,0.38425,0.31135,0.8912,0.000902836,0.000902836,0.000902836
73,692.399,0.44417,0.38759,0.91999,0.99855,1,0.995,0.94072,0.38575,0.29764,0.89086,0.000900176,0.000900176,0.000900176
74,703.621,0.40461,0.37137,0.88856,0.99841,1,0.995,0.92827,0.39285,0.29573,0.89454,0.000897484,0.000897484,0.000897484
75,711.814,0.42898,0.37094,0.93386,0.99714,1,0.995,0.93882,0.38986,0.31388,0.88682,0.000894761,0.000894761,0.000894761
76,720.594,0.44072,0.42286,0.91457,0.99784,1,0.995,0.94702,0.3782,0.29434,0.88871,0.000892007,0.000892007,0.000892007
77,728.432,0.42968,0.40532,0.92669,0.99873,1,0.995,0.94743,0.36432,0.3048,0.88691,0.000889221,0.000889221,0.000889221
78,737.246,0.36953,0.34123,0.89963,0.99844,1,0.995,0.92841,0.37228,0.30586,0.87205,0.000886404,0.000886404,0.000886404
79,749.188,0.40182,0.40411,0.90297,0.99799,1,0.995,0.93751,0.36135,0.29254,0.87191,0.000883557,0.000883557,0.000883557
80,757.928,0.3997,0.37708,0.89372,0.9985,1,0.995,0.93514,0.36768,0.29611,0.87116,0.000880679,0.000880679,0.000880679
81,766.78,0.41774,0.36551,0.89911,0.99815,1,0.995,0.94068,0.36678,0.28731,0.86951,0.00087777,0.00087777,0.00087777
82,775.3,0.4038,0.37378,0.90148,0.99634,1,0.995,0.94224,0.35238,0.27676,0.86038,0.000874832,0.000874832,0.000874832
83,784.488,0.40788,0.38826,0.89419,0.99621,1,0.995,0.93868,0.35272,0.29846,0.85791,0.000871864,0.000871864,0.000871864
84,795.117,0.37842,0.36263,0.89234,0.99874,1,0.995,0.94748,0.34641,0.27944,0.86278,0.000868866,0.000868866,0.000868866
85,803.801,0.43066,0.43718,0.90687,0.99795,1,0.995,0.94619,0.35042,0.28291,0.86773,0.000865839,0.000865839,0.000865839
86,813.512,0.39426,0.33765,0.89282,0.99684,1,0.995,0.92848,0.37363,0.29388,0.87483,0.000862783,0.000862783,0.000862783
87,822.87,0.37718,0.33888,0.908,0.99699,1,0.995,0.93378,0.37365,0.29471,0.87908,0.000859699,0.000859699,0.000859699
88,831.455,0.36022,0.33268,0.87199,0.99774,1,0.995,0.92718,0.3767,0.28538,0.8783,0.000856585,0.000856585,0.000856585
89,839.474,0.37641,0.34748,0.90494,0.99857,1,0.995,0.94269,0.36171,0.27011,0.86972,0.000853443,0.000853443,0.000853443
90,848.077,0.35908,0.31557,0.87714,0.99852,1,0.995,0.93835,0.33774,0.26679,0.85813,0.000850274,0.000850274,0.000850274
91,857.062,0.39597,0.35048,0.89471,0.99803,1,0.995,0.95265,0.34658,0.27957,0.86804,0.000847076,0.000847076,0.000847076
92,867.376,0.37981,0.35891,0.90245,0.99873,1,0.995,0.94479,0.34099,0.27279,0.86427,0.000843851,0.000843851,0.000843851
93,877.154,0.38888,0.36438,0.87213,0.99849,1,0.995,0.94923,0.3409,0.26297,0.86565,0.000840598,0.000840598,0.000840598
94,885.383,0.36517,0.34374,0.86865,0.99848,1,0.995,0.94556,0.37348,0.26966,0.875,0.000837319,0.000837319,0.000837319
95,894.3,0.38118,0.3411,0.90795,0.99878,1,0.995,0.93833,0.36737,0.2776,0.87643,0.000834012,0.000834012,0.000834012
96,904.931,0.39604,0.35317,0.88665,0.99874,1,0.995,0.93787,0.35033,0.26342,0.87182,0.00083068,0.00083068,0.00083068
97,912.734,0.38866,0.34865,0.88841,0.99874,1,0.995,0.93333,0.34277,0.25577,0.86637,0.000827321,0.000827321,0.000827321
98,921.703,0.3662,0.32922,0.89015,0.9988,1,0.995,0.94342,0.33392,0.26162,0.85988,0.000823936,0.000823936,0.000823936
99,930.622,0.36588,0.31093,0.88824,0.99859,1,0.995,0.94042,0.3436,0.27178,0.86944,0.000820525,0.000820525,0.000820525
100,938.975,0.36103,0.30705,0.88152,0.99859,1,0.995,0.93364,0.35792,0.2625,0.87372,0.000817089,0.000817089,0.000817089
101,947.406,0.36695,0.31706,0.88231,0.99862,1,0.995,0.93618,0.35562,0.28379,0.87096,0.000813627,0.000813627,0.000813627
